Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
7.724068479355488126e-01,5.305555555555555580e-01,3.265306122448979331e-01,3.901712583767684150e-01,3.621933621933621783e-01,6.278664731494919549e-01,8.163265306122449161e-01,9.806451612903226422e-01,6.532258064516128782e-01,4.152925725959433767e-01
4.209466263846928236e-01,7.499999999999999722e-02,2.244897959183673186e-01,1.608339538346984510e-01,2.409812409812409906e-01,3.278664731494919660e-01,8.061224489795917325e-01,7.548387096774193949e-01,5.483870967741935054e-01,2.757916241062308149e-01
2.426988922457200548e-01,8.527777777777778567e-01,6.326530612244897211e-01,4.988830975428146242e-02,2.626262626262626521e-01,1.031930333817126233e-01,3.163265306122448051e-01,6.774193548387097419e-01,8.709677419354838745e-01,1.052093973442287944e-01
3.388721047331320069e-01,4.611111111111111382e-01,5.102040816326530726e-01,3.633655994043186732e-01,3.953823953823953907e-01,6.966618287373003982e-02,8.826530612244896101e-01,9.032258064516129892e-01,5.000000000000000000e-01,1.894060995184590479e-01
2.739174219536757438e-01,2.111111111111111105e-01,8.163265306122448328e-02,1.265822784810126667e-01,2.063492063492063655e-01,9.230769230769229894e-02,8.520408163265305035e-01,8.580645161290323397e-01,5.766129032258063836e-01,1.374580475704071103e-01
4.138972809667673669e-01,2.222222222222222307e-02,2.040816326530612013e-01,1.898734177215190000e-01,3.448773448773448935e-01,1.293178519593613796e-01,7.653061224489794423e-01,7.741935483870967527e-01,5.967741935483871218e-01,2.670363344520647608e-01
1.440080563947632175e-01,1.638888888888888895e-01,4.285714285714285476e-01,4.988830975428146242e-02,2.409812409812409906e-01,1.088534107402031881e-01,8.775510204081631294e-01,6.000000000000000888e-01,3.427419354838709409e-01,1.179045673427695784e-01
7.134944612286002741e-01,1.861111111111111160e-01,1.836734693877550839e-01,1.206254653760238243e-01,1.962481962481962550e-01,4.396226415094339202e-01,8.724489795918366486e-01,7.935483870967743325e-01,5.040322580645161255e-01,2.865898146797022927e-01
7.487411883182275574e-01,3.194444444444444753e-01,4.489795918367346372e-01,3.127326880119136315e-02,2.265512265512265588e-01,2.772133526850507623e-01,9.846938775510203357e-01,7.354838709677420372e-01,3.145161290322580627e-01,1.481103166496424706e-01
1.289023162134943501e-01,7.222222222222222932e-02,7.142857142857141906e-01,3.253909158600148954e-01,4.386724386724386582e-01,6.879535558780841553e-02,6.275510204081632404e-01,2.838709677419355426e-01,3.064516129032258118e-01,4.508974171895519661e-02
6.143001007049344597e-01,3.388888888888889062e-01,1.836734693877550839e-01,6.701414743112435457e-02,2.294372294372294396e-01,5.036284470246733536e-01,9.030612244897957552e-01,8.645161290322580516e-01,5.201612903225806273e-01,7.732379979570990214e-01
1.047331319234643399e-01,3.222222222222222432e-01,5.306122448979591066e-01,2.233804914370811703e-02,2.049062049062049251e-01,1.323657474600870854e-01,9.948979591836732972e-01,6.903225806451613877e-01,2.540322580645161255e-01,2.553626149131766818e-02
2.411883182275931237e-01,9.138888888888889728e-01,4.285714285714285476e-01,2.375279225614296275e-01,4.444444444444444198e-01,1.956458635703918481e-01,5.510204081632652517e-01,7.161290322580644574e-01,7.298387096774193727e-01,7.485772654311979857e-02
7.975830815709969990e-01,9.166666666666667407e-01,2.653061224489795533e-01,3.410275502606106013e-01,3.232323232323232598e-01,7.130624092888243615e-01,6.632653061224489388e-01,8.064516129032257563e-01,7.056451612903225090e-01,6.365095578578724433e-01
6.681772406847934498e-01,9.888888888888889284e-01,4.897959183673469274e-01,2.233804914370811703e-02,2.279942279942279992e-01,2.076923076923076761e-01,5.867346938775509502e-01,5.806451612903225090e-01,5.927419354838709964e-01,1.287027579162410562e-01
4.919436052366565892e-01,7.666666666666667185e-01,4.489795918367346372e-01,4.467609828741623407e-02,2.352092352092352290e-01,3.174165457184324746e-01,4.999999999999998890e-01,8.967741935483870552e-01,8.870967741935483764e-01,1.390631840070042091e-01
5.327291037260826201e-01,1.361111111111111271e-01,4.285714285714285476e-01,1.787043931496649363e-01,3.650793650793651146e-01,3.535558780841799309e-01,8.418367346938775420e-01,5.870967741935484430e-01,3.669354838709677491e-01,2.943236538742156627e-01
3.459214501510574635e-01,8.499999999999999778e-01,5.102040816326530726e-01,6.701414743112435457e-02,2.568542568542568905e-01,1.500725689404934504e-01,4.285714285714284921e-01,7.483870967741936830e-01,8.467741935483871218e-01,2.358091346855391568e-01
1.440080563947632175e-01,8.777777777777777679e-01,7.142857142857141906e-01,6.701414743112435457e-02,2.886002886002886347e-01,8.722786647314947905e-02,2.500000000000000000e-01,5.612903225806451513e-01,8.346774193548386345e-01,1.269516999854078398e-01
4.325276938569990737e-01,2.083333333333333426e-01,6.938775510204081565e-01,7.073715562174236193e-02,2.929292929292929282e-01,1.378809869375906966e-02,9.183673469387754196e-01,3.677419354838709076e-01,8.064516129032257841e-02,2.374142711221362834e-01
3.992950654582074765e-01,6.416666666666667185e-01,4.693877551020407823e-01,1.139240506329113889e-01,3.030303030303030387e-01,4.449927431059506056e-01,6.122448979591835760e-01,9.935483870967742881e-01,8.306451612903225090e-01,2.080840507806799855e-01
2.432024169184290319e-01,1.250000000000000000e-01,2.244897959183673186e-01,1.801935964259121503e-01,2.958152958152958090e-01,7.605224963715528919e-02,8.418367346938775420e-01,7.483870967741936830e-01,5.040322580645161255e-01,8.769881803589668623e-02
5.704934541792547886e-01,9.444444444444444198e-02,2.244897959183673186e-01,2.978406552494415327e-01,2.987012987012986898e-01,7.481857764876632677e-01,8.214285714285713969e-01,7.548387096774193949e-01,5.322580645161290036e-01,2.756457026119947251e-01
2.648539778449143789e-01,3.694444444444444642e-01,3.061224489795917880e-01,4.988830975428146242e-02,2.380952380952381098e-01,7.416545718432510093e-02,9.438775510204080454e-01,8.516129032258064058e-01,4.516129032258064391e-01,1.288486794104771460e-01
1.636455186304128784e-01,3.555555555555555691e-01,6.326530612244897211e-01,1.355174981384958954e-01,3.694083694083694080e-01,9.738751814223511882e-02,9.897959183673468164e-01,6.709677419354838079e-01,2.096774193548386900e-01,1.386254195242959258e-02
5.760322255790533141e-01,3.083333333333333481e-01,4.081632653061224025e-01,8.041697691734922548e-02,2.380952380952381098e-01,2.134978229317851806e-01,9.795918367346938549e-01,7.419354838709677491e-01,3.346774193548386900e-01,2.028308769881803364e-01
3.680765357502517876e-01,8.888888888888889506e-01,8.163265306122448328e-02,1.139240506329113889e-01,2.077922077922078059e-01,4.368650217706820937e-02,7.755102040816326259e-01,8.838709677419354094e-01,6.612903225806451291e-01,8.947906026557711501e-01
5.297079556898287578e-01,7.638888888888889506e-01,3.061224489795917880e-01,1.414743112434847239e-01,2.453102453102453118e-01,3.076923076923076539e-01,6.071428571428570953e-01,9.225806451612903469e-01,8.225806451612902581e-01,2.137749890558879040e-01
4.103726082578045276e-01,5.305555555555555580e-01,3.061224489795917880e-01,3.127326880119136315e-02,2.236652236652236780e-01,1.667634252539912654e-01,8.163265306122449161e-01,9.741935483870967083e-01,6.532258064516128782e-01,9.017948343791039323e-02
7.643504531722054018e-01,8.194444444444445308e-01,3.673469387755101678e-01,4.467609828741623407e-02,2.323232323232323204e-01,2.162554426705370070e-01,5.561224489795917325e-01,8.580645161290323397e-01,8.266129032258063836e-01,2.582810447978987067e-01
1.540785498489425365e-01,1.472222222222222265e-01,4.081632653061224164e-02,2.233804914370811703e-02,1.919191919191919338e-01,1.789550072568940331e-01,8.316326530612243584e-01,8.709677419354839856e-01,6.048387096774193727e-01,1.552604698672114258e-01
7.930513595166162055e-01,2.166666666666666741e-01,3.061224489795917880e-01,5.405807892777364509e-01,5.064935064935065512e-01,3.230769230769230393e-01,9.183673469387754196e-01,7.225806451612903913e-01,4.032258064516128782e-01,2.219465927331095711e-01
4.843907351460221555e-01,8.416666666666666741e-01,7.142857142857141906e-01,2.233804914370811634e-01,4.689754689754689898e-01,1.741654571843251065e-01,2.346938775510203357e-01,6.387096774193548043e-01,8.991935483870967527e-01,2.312855683642200399e-01
6.007049345417925235e-01,0.000000000000000000e+00,6.122448979591836593e-02,1.839166046165301716e-01,2.265512265512265588e-01,4.828737300435413382e-01,8.010204081632652517e-01,8.709677419354839856e-01,6.290322580645161255e-01,2.207792207792207695e-01
2.220543806646526619e-01,3.111111111111111160e-01,4.897959183673469274e-01,1.742367833209232941e-01,3.044733044733044514e-01,4.310595065312046448e-02,9.897959183673468164e-01,7.032258064516130336e-01,2.822580645161290036e-01,1.216985261929082046e-01
3.580060422960724686e-01,1.944444444444444475e-02,2.040816326530612013e-01,1.697691734921816797e-01,1.774891774891775020e-01,1.955007256894049084e-01,7.653061224489794423e-01,7.806451612903226867e-01,6.008064516129032473e-01,1.796293594046402819e-01
4.209466263846928236e-01,2.611111111111111271e-01,6.326530612244897211e-01,6.701414743112435457e-02,2.842712842712842858e-01,1.567489114658925792e-02,9.795918367346938549e-01,5.032258064516128560e-01,1.290322580645161255e-01,3.512330366262950143e-01
8.066465256797583638e-01,8.750000000000000000e-01,2.857142857142856984e-01,2.300819061801935850e-01,2.741702741702741752e-01,7.468795355587808382e-01,6.377551020408162019e-01,8.322580645161290480e-01,7.459677419354838745e-01,6.041149861374579544e-01
2.824773413897281316e-01,2.361111111111111327e-01,2.448979591836734637e-01,0.000000000000000000e+00,2.106782106782106867e-01,1.306240928882438090e-01,9.132653061224489388e-01,7.806451612903226867e-01,4.516129032258064391e-01,1.812344958412374085e-01
3.036253776435045015e-01,4.388888888888888840e-01,1.836734693877550839e-01,2.233804914370811703e-02,2.049062049062049251e-01,2.101596516690856231e-01,8.826530612244896101e-01,9.225806451612903469e-01,5.766129032258063836e-01,9.207646286297971328e-02
7.341389728096676670e-01,9.111111111111110938e-01,2.857142857142856984e-01,2.196574832464631422e-01,2.178932178932178887e-01,7.371552975326559620e-01,6.479591836734692745e-01,7.935483870967743325e-01,7.137096774193548709e-01,4.597986283379541517e-01
5.745216515609263830e-01,6.527777777777777901e-01,1.224489795918367319e-01,1.608339538346984510e-01,2.236652236652236780e-01,8.269956458635703278e-01,7.755102040816326259e-01,9.419354838709677047e-01,6.975806451612902581e-01,3.488982927185174110e-01
5.156092648539778445e-01,3.444444444444444420e-01,3.469387755102040782e-01,7.073715562174236193e-02,2.294372294372294396e-01,6.171262699564585841e-01,9.591836734693877098e-01,8.193548387096774022e-01,4.112903225806451291e-01,4.776010506347584395e-01
1.701913393756293580e-01,2.277777777777777735e-01,1.632653061224489666e-01,2.233804914370811703e-02,2.178932178932178887e-01,1.142235123367198735e-01,8.877551020408163129e-01,8.129032258064516903e-01,5.080645161290322509e-01,2.199036918138041474e-01
7.260825780463242562e-01,4.472222222222222432e-01,3.265306122448979331e-01,3.320923306031273170e-01,2.481962481962481926e-01,5.879535558780841775e-01,8.979591836734692745e-01,9.225806451612903469e-01,5.362903225806451291e-01,2.935940464030351582e-01
5.130916414904329592e-01,1.027777777777777873e-01,2.040816326530612013e-01,0.000000000000000000e+00,2.106782106782106867e-01,8.184325108853409692e-01,8.265306122448978776e-01,7.741935483870967527e-01,5.362903225806451291e-01,1.517583540055449931e-01
3.499496475327290579e-01,1.333333333333333315e-01,2.653061224489795533e-01,2.010424422933730360e-01,2.539682539682539542e-01,7.793904208998547745e-02,8.469387755102040227e-01,7.290322580645161032e-01,4.838709677419354982e-01,1.990369181380417241e-01
4.833836858006042014e-01,1.555555555555555580e-01,4.693877551020407823e-01,2.233804914370811703e-02,2.020202020202020166e-01,4.281567489114658509e-02,8.673469387755101678e-01,5.612903225806451513e-01,3.225806451612903136e-01,2.320151758354005445e-01
7.854984894259817718e-01,7.638888888888889506e-01,5.102040816326530726e-01,1.898734177215190000e-01,3.722943722943722888e-01,1.886792452830188538e-01,4.489795918367346372e-01,8.903225806451613433e-01,9.112903225806451291e-01,2.432511308915803194e-01
4.833836858006042014e-01,9.888888888888889284e-01,2.857142857142856984e-01,4.102755026061057353e-01,3.275613275613275532e-01,4.534107402031929968e-01,7.091836734693877098e-01,7.419354838709677491e-01,6.209677419354838745e-01,2.056033853786662646e-01
6.163141993957703679e-01,1.722222222222222210e-01,5.102040816326530726e-01,2.680565897244974183e-01,9.379509379509380629e-02,1.412191582002902679e-01,8.877551020408163129e-01,5.290322580645161477e-01,2.701612903225806273e-01,1.276813074565883444e-01
3.474320241691841726e-01,9.194444444444445086e-01,2.040816326530612013e-01,4.988830975428146242e-02,2.193362193362193568e-01,2.329462989840348219e-01,7.091836734693877098e-01,8.322580645161290480e-01,6.854838709677418818e-01,2.426674449146359047e-01
1.757301107754278835e-01,2.722222222222222543e-01,7.346938775510203357e-01,1.697691734921816797e-01,4.126984126984126755e-01,8.214804063860667305e-02,9.795918367346938549e-01,4.258064516129032029e-01,4.032258064516128920e-02,2.553626149131766818e-02
